-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  35.6764   Longitude 139.6503 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 232.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2017,317.56,317.44,344.75,223.5,201.38,186.62,205.19,105.94,22.69,4.75,309.5,302.62,304.31
WD10M,2018,303.81,318.94,309.44,223.56,228.56,203.38,200.56,215.81,180.5,359.69,3.06,333.12,279.69
WD10M,2019,323.81,343.5,313.69,317.06,195.94,178.12,156.19,195.0,43.31,16.62,348.19,333.44,327.5
WD10M,2020,341.31,312.69,324.69,319.88,204.38,204.94,206.38,182.81,71.5,12.06,325.94,325.31,299.06
WD10M,2021,325.88,282.19,310.12,231.12,209.94,152.94,171.0,198.44,45.94,2.31,295.5,317.69,282.69
WD10M,2022,330.62,329.12,337.69,353.19,184.88,196.94,202.12,197.62,59.19,4.56,349.06,306.75,314.31
WD50M,2012,336.44,337.38,322.12,213.56,254.31,125.69,202.38,203.31,157.88,5.25,311.5,309.19,309.12
WD50M,2013,322.25,323.62,292.88,247.62,218.5,137.31,199.06,205.31,53.19,359.25,276.31,302.25,290.44
WD50M,2014,316.69,347.62,300.25,252.62,240.0,137.44,189.75,215.06,14.88,341.19,330.62,282.31,296.25
WD50M,2015,320.44,323.5,305.12,255.62,235.94,174.75,210.81,127.69,34.94,339.31,351.94,329.31,308.75
WD50M,2016,319.94,315.44,350.44,231.06,212.69,190.62,162.44,103.94,82.12,9.56,349.81,309.69,319.5
WD50M,2017,316.56,317.0,342.62,230.88,208.94,200.62,210.62,108.5,4.44,3.69,306.81,302.81,303.25
WD50M,2018,302.62,318.38,303.75,228.56,234.81,211.81,205.25,221.69,188.19,357.56,1.44,332.19,285.19
WD50M,2019,323.62,341.0,310.38,309.81,203.06,188.62,163.31,199.38,37.12,14.75,346.56,332.06,322.81
WD50M,2020,340.12,312.44,321.88,315.31,212.56,212.0,209.0,191.0,74.69,10.56,323.69,322.88,299.5
WD50M,2021,323.94,282.38,302.94,254.5,216.0,158.62,178.19,201.94,44.25,358.25,297.19,316.0,284.5
WD50M,2022,329.62,327.38,331.75,340.19,197.19,208.94,206.12,200.81,57.75,2.88,346.81,306.19,311.62
WS10M,2012,3.79,3.8,4.29,3.91,3.66,3.59,3.57,3.18,3.5,3.62,3.55,3.83,3.7
WS10M,2013,3.9,4.06,4.47,4.98,3.94,3.31,3.2,3.31,3.88,4.41,3.52,3.7,3.89
WS10M,2014,3.98,4.95,4.66,3.62,3.91,3.06,3.08,4.32,3.34,3.69,3.56,3.84,3.83
WS10M,2015,4.08,3.71,4.12,4.37,3.72,2.81,3.77,3.25,3.29,3.7,3.3,3.56,3.64
WS10M,2016,3.43,3.84,3.7,4.12,4.22,3.39,3.03,3.61,3.11,3.34,3.63,3.71,3.59
WS10M,2017,3.93,4.57,3.55,4.32,3.29,3.4,3.59,3.22,3.42,4.12,3.41,3.41,3.68
WS10M,2018,3.9,3.6,4.43,4.49,4.07,3.95,4.12,4.28,4.09,3.27,2.86,3.55,3.89
WS10M,2019,3.88,3.81,4.11,4.02,3.52,3.58,3.31,3.45,2.98,4.2,3.64,3.38,3.66
WS10M,2020,3.38,3.78,4.26,4.34,3.79,3.95,4.95,2.64,3.79,3.55,3.54,3.08,3.75
WS10M,2021,3.55,4.2,4.33,4.23,4.27,3.12,2.69,4.04,3.32,3.7,3.43,3.72,3.71
WS10M,2022,3.61,3.66,4.0,4.12,3.29,3.48,3.79,4.06,3.69,3.87,3.56,3.47,3.72
WS50M,2012,5.59,5.48,6.09,5.48,5.23,4.84,4.85,4.45,4.91,5.32,5.55,5.84,5.3
WS50M,2013,5.96,5.96,6.25,7.02,5.48,4.45,4.36,4.49,5.35,6.15,5.35,5.66,5.54
WS50M,2014,5.94,6.95,6.54,5.03,5.45,4.16,4.28,5.8,4.75,5.29,5.41,5.99,5.46
WS50M,2015,6.09,5.5,5.88,5.91,5.22,3.94,5.23,4.48,4.7,5.5,4.91,5.52,5.24
WS50M,2016,5.11,5.61,5.24,5.77,5.85,4.74,4.18,5.0,4.42,4.92,5.38,5.59,5.15
WS50M,2017,6.01,6.76,5.05,6.02,4.62,4.69,4.84,4.34,4.84,5.83,5.24,5.32,5.29
WS50M,2018,6.05,5.34,6.19,6.29,5.58,5.27,5.55,5.78,5.55,4.85,4.27,5.48,5.52
WS50M,2019,5.86,5.59,5.9,5.67,4.95,4.91,4.56,4.87,4.28,5.95,5.4,5.21,5.27
WS50M,2020,5.11,5.66,5.96,6.04,5.3,5.43,6.7,3.74,5.36,5.13,5.39,4.7,5.38
WS50M,2021,5.23,6.27,6.16,5.92,5.84,4.37,3.74,5.58,4.72,5.37,5.27,5.64,5.34
WS50M,2022,5.6,5.44,5.62,5.66,4.62,4.88,5.25,5.61,5.16,5.59,5.29,5.28,5.34
WS10M_MAX,2012,10.47,13.95,16.07,18.46,10.11,19.12,11.88,9.53,17.8,10.09,12.46,10.2,19.12
WS10M_MAX,2013,14.15,11.47,14.3,14.92,10.45,12.87,10.42,11.19,19.18,20.39,13.97,13.05,20.39
WS10M_MAX,2014,10.77,12.95,15.54,10.04,10.98,9.12,11.53,12.68,12.06,14.41,8.98,11.8,15.54
WS10M_MAX,2015,12.58,10.43,11.16,13.38,11.73,8.77,14.99,7.76,10.61,15.84,9.6,14.21,15.84
WS10M_MAX,2016,11.38,15.62,9.09,17.88,15.26,11.61,8.3,10.83,14.49,13.25,10.16,15.43,17.88
WS10M_MAX,2017,11.05,15.08,9.81,14.93,9.23,12.66,9.24,10.92,17.41,17.3,9.98,7.98,17.41
WS10M_MAX,2018,11.19,14.17,14.08,15.61,12.14,11.92,13.94,13.4,23.35,9.93,6.44,9.22,23.35
WS10M_MAX,2019,10.4,11.22,12.48,11.33,12.24,11.54,11.73,10.99,12.77,17.16,9.84,12.91,17.16
WS10M_MAX,2020,8.48,11.7,12.88,13.68,11.61,13.05,13.16,7.45,9.63,9.3,10.23,10.81,13.68
WS10M_MAX,2021,12.15,12.2,13.96,10.4,14.16,12.85,8.83,14.55,10.46,15.45,15.43,10.58,15.45
WS10M_MAX,2022,9.41,10.15,12.8,12.83,11.65,11.19,9.87,10.16,11.92,10.09,10.36,10.92,12.83
WS10M_MIN,2012,0.45,0.2,0.14,0.29,0.16,0.04,0.12,0.27,0.07,0.18,0.16,0.47,0.04
WS10M_MIN,2013,0.21,0.08,0.34,0.02,0.06,0.1,0.14,0.05,0.13,0.31,0.11,0.16,0.02
WS10M_MIN,2014,0.26,0.71,0.18,0.06,0.23,0.03,0.27,0.42,0.15,0.15,0.09,0.39,0.03
WS10M_MIN,2015,0.04,0.23,0.61,0.38,0.25,0.05,0.23,0.09,0.05,0.27,0.29,0.16,0.04
WS10M_MIN,2016,0.15,0.16,0.02,0.19,0.38,0.07,0.2,0.3,0.07,0.15,0.26,0.09,0.02
WS10M_MIN,2017,0.21,0.2,0.26,0.38,0.23,0.08,0.12,0.06,0.08,0.1,0.34,0.26,0.06
WS10M_MIN,2018,0.06,0.06,0.19,0.14,0.26,0.17,0.08,0.27,0.06,0.16,0.16,0.32,0.06
WS10M_MIN,2019,0.12,0.13,0.24,0.28,0.11,0.2,0.1,0.2,0.28,0.08,0.19,0.09,0.08
WS10M_MIN,2020,0.19,0.1,0.36,0.18,0.12,0.2,0.29,0.06,0.27,0.11,0.27,0.16,0.06
WS10M_MIN,2021,0.24,0.42,0.3,0.5,0.17,0.02,0.09,0.05,0.2,0.12,0.2,0.16,0.02
WS10M_MIN,2022,0.12,0.23,0.09,0.42,0.03,0.34,0.17,0.22,0.27,0.15,0.3,0.31,0.03
WS50M_MAX,2012,13.27,18.97,20.75,23.95,12.74,24.99,15.2,12.05,23.2,13.39,16.91,13.35,24.99
WS50M_MAX,2013,17.48,15.45,18.85,18.58,12.95,16.15,13.05,13.82,24.76,25.7,18.64,17.27,25.7
WS50M_MAX,2014,13.48,16.52,19.95,12.26,13.69,11.2,14.48,16.75,15.03,19.16,11.42,15.06,19.95
WS50M_MAX,2015,16.84,13.31,14.52,17.23,15.47,10.89,19.33,10.45,13.55,21.06,12.55,19.17,21.06
WS50M_MAX,2016,13.7,20.62,12.07,22.84,19.62,15.48,10.49,13.96,18.45,18.01,12.62,20.56,22.84
WS50M_MAX,2017,14.05,19.45,12.37,19.72,11.29,16.42,11.23,13.48,23.08,23.05,14.34,11.58,23.08
WS50M_MAX,2018,14.57,18.77,18.27,20.31,16.12,14.98,17.72,16.7,30.51,13.05,9.04,12.91,30.51
WS50M_MAX,2019,13.49,15.03,15.62,14.19,15.76,14.55,14.82,14.19,16.2,22.47,13.29,16.98,22.47
WS50M_MAX,2020,12.85,15.05,16.19,17.32,14.55,17.38,16.67,9.3,11.79,12.13,13.56,14.98,17.38
WS50M_MAX,2021,15.8,16.04,17.74,14.07,19.07,16.52,11.55,19.24,13.29,18.97,20.59,13.46,20.59
WS50M_MAX,2022,12.34,12.86,17.04,16.78,14.57,13.9,12.42,12.86,16.13,12.87,14.28,13.98,17.04
WS50M_MIN,2012,0.61,0.38,0.07,0.26,0.19,0.09,0.16,0.45,0.11,0.14,0.26,0.22,0.07
WS50M_MIN,2013,0.28,0.14,0.34,0.13,0.09,0.18,0.12,0.05,0.2,0.18,0.12,0.12,0.05
WS50M_MIN,2014,0.16,0.33,0.03,0.06,0.09,0.06,0.16,0.28,0.28,0.45,0.22,0.18,0.03
WS50M_MIN,2015,0.34,0.29,0.6,0.48,0.17,0.18,0.28,0.22,0.08,0.36,0.1,0.35,0.08
WS50M_MIN,2016,0.16,0.28,0.07,0.3,0.3,0.11,0.28,0.21,0.32,0.06,0.39,0.34,0.06
WS50M_MIN,2017,0.45,0.27,0.18,0.59,0.23,0.25,0.26,0.07,0.24,0.1,0.19,0.36,0.07
WS50M_MIN,2018,0.13,0.27,0.21,0.35,0.24,0.07,0.12,0.23,0.15,0.17,0.1,0.51,0.07
WS50M_MIN,2019,0.15,0.27,0.39,0.12,0.15,0.29,0.29,0.23,0.26,0.12,0.12,0.06,0.06
WS50M_MIN,2020,0.22,0.36,0.46,0.38,0.09,0.31,0.13,0.09,0.36,0.16,0.2,0.14,0.09
WS50M_MIN,2021,0.21,0.25,0.4,0.13,0.21,0.21,0.09,0.08,0.42,0.16,0.21,0.26,0.08
WS50M_MIN,2022,0.2,0.24,0.09,0.17,0.04,0.23,0.37,0.29,0.22,0.1,0.14,0.37,0.04
WS10M_RANGE,2012,10.02,13.76,15.93,18.17,9.95,19.09,11.77,9.27,17.73,9.91,12.3,9.73,19.09
WS10M_RANGE,2013,13.94,11.39,13.96,14.9,10.38,12.77,10.28,11.13,19.05,20.08,13.86,12.9,20.37
WS10M_RANGE,2014,10.52,12.24,15.36,9.98,10.75,9.09,11.27,12.26,11.91,14.26,8.89,11.41,15.51
WS10M_RANGE,2015,12.54,10.2,10.55,13.0,11.48,8.72,14.77,7.66,10.55,15.57,9.31,14.05,15.8
WS10M_RANGE,2016,11.23,15.46,9.07,17.69,14.88,11.54,8.11,10.52,14.42,13.1,9.91,15.34,17.85
WS10M_RANGE,2017,10.84,14.88,9.55,14.55,9.0,12.58,9.12,10.86,17.33,17.2,9.64,7.72,17.34
WS10M_RANGE,2018,11.12,14.11,13.89,15.47,11.88,11.75,13.86,13.13,23.29,9.77,6.27,8.9,23.29
WS10M_RANGE,2019,10.27,11.09,12.24,11.05,12.13,11.34,11.63,10.79,12.48,17.09,9.65,12.82,17.09
WS10M_RANGE,2020,8.29,11.6,12.52,13.5,11.49,12.85,12.88,7.38,9.36,9.2,9.97,10.65,13.62
WS10M_RANGE,2021,11.91,11.78,13.66,9.9,13.98,12.84,8.73,14.5,10.26,15.32,15.23,10.42,15.43
WS10M_RANGE,2022,9.29,9.92,12.71,12.41,11.62,10.84,9.7,9.94,11.66,9.95,10.05,10.61,12.8
WS50M_RANGE,2012,12.66,18.59,20.68,23.69,12.55,24.91,15.03,11.61,23.09,13.25,16.66,13.13,24.92
WS50M_RANGE,2013,17.2,15.31,18.52,18.45,12.86,15.97,12.93,13.77,24.56,25.52,18.52,17.16,25.65
WS50M_RANGE,2014,13.31,16.2,19.91,12.2,13.59,11.14,14.33,16.47,14.75,18.71,11.2,14.88,19.91
WS50M_RANGE,2015,16.51,13.02,13.92,16.75,15.3,10.71,19.05,10.23,13.47,20.7,12.45,18.82,20.98
WS50M_RANGE,2016,13.55,20.34,12.0,22.53,19.33,15.38,10.21,13.75,18.12,17.95,12.23,20.22,22.77
WS50M_RANGE,2017,13.6,19.17,12.19,19.13,11.05,16.17,10.98,13.41,22.84,22.95,14.16,11.22,23.01
WS50M_RANGE,2018,14.44,18.5,18.05,19.96,15.88,14.91,17.59,16.47,30.36,12.88,8.94,12.4,30.44
WS50M_RANGE,2019,13.34,14.77,15.23,14.07,15.61,14.27,14.53,13.95,15.95,22.35,13.16,16.91,22.41
WS50M_RANGE,2020,12.63,14.69,15.73,16.94,14.45,17.07,16.54,9.22,11.43,11.98,13.36,14.84,17.3
WS50M_RANGE,2021,15.59,15.79,17.34,13.94,18.86,16.31,11.45,19.16,12.87,18.8,20.38,13.2,20.51
WS50M_RANGE,2022,12.14,12.62,16.95,16.61,14.53,13.67,12.05,12.57,15.91,12.77,14.14,13.62,17.0
