rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students
53,Chinese University of Hong Kong,75.4,59.1,61.5,97.6,95.9,93.6,"18,290",18.8,25%
54,Monash University,75.2,55.3,67.8,94.7,99.7,91.1,"58,460",43.1,38%
55,Kyoto University,75,85.4,84.3,60,100,45.7,"21,817",9,11%
55,Zhejiang University,75,70.2,75.3,78.7,99,65.5,"48,169",12,16%
57,University of Science and Technology of China,74.8,74.3,66.3,88.2,95.6,45.4,"20,252",8.1,5%
58,Université Paris-Saclay,74.4,70.9,66.1,82.4,92.4,78.6,"31,662",13,24%
59,"University of California, Davis",74.1,63.7,67.8,87.2,91.5,78.7,"37,926",13.3,18%
60,The University of Sydney,73.8,52.6,68.9,92,97.7,90.2,"57,414",23.1,51%
61,University of Amsterdam,73.6,55,63.1,96.7,77.6,93.2,"28,649",13.2,36%
62,Seoul National University,73.4,74.2,75.3,74.6,100,43.7,"28,620",16.1,13%
63,University of Wisconsin-Madison,73.3,68.5,67.5,85.5,79.8,62.8,"41,209",9.9,13%
64,Brown University,73,69.8,59.6,89.7,69.3,72.1,"9,781",10.3,19%
64,The Hong Kong University of Science and Technology,73,54,62.1,92.9,100,95.5,"9,794",19.9,30%
64,Wageningen University & Research,73,56.4,59.8,93.8,98.8,92.4,"15,899",18.1,28%
67,Australian National University,72.6,55.9,68,86.6,82,94.8,"17,293",15.1,48%
68,Washington University in St Louis,72.3,60.8,57.2,97.5,77.8,72.7,"13,825",7.3,22%
69,"University of California, Santa Barbara",72.1,47.4,64.7,96.9,99.4,84,"25,540",27.5,18%
70,The University of Queensland,72,52.9,64.3,89.1,99.8,94,"42,847",39.1,42%
71,Institut Polytechnique de Paris,71.3,71,61.6,70.8,98.8,97.1,"6,073",6.8,42%
72,University of North Carolina at Chapel Hill,71.2,63.4,60.3,93.9,75.8,50.9,"30,782",7.7,8%
73,Nanjing University,70.9,64,61.7,85.3,96.8,61.8,"36,711",16.7,8%
74,University of Southern California,70.8,59.2,58.8,92.5,74.4,74.3,"44,083",14.2,24%
75,Sorbonne University,70.5,64.7,60.8,83.7,69.5,78.8,"41,527",14.5,22%
76,Yonsei University (Seoul campus),70.4,68.1,64.3,79.3,99.9,51.8,"18,961",13.9,17%
77,Leiden University,70.2,46,62.7,93,98.1,87.8,"35,072",19.3,21%
78,Boston University,70.1,59.6,54.1,94.3,76.4,74.1,"26,677",10.8,29%
79,University of Groningen,70,47.5,57.2,94.5,99.9,93.4,"31,942",28.8,29%
80,University of Zurich,69.9,54.8,53.4,91.8,93.7,92.4,"25,608",14.7,24%
81,University of Bristol,69.8,48.7,56.5,97.3,72.3,92.5,"27,335",14.8,31%
82,City University of Hong Kong,69.3,52.2,52.4,91.1,100,98.7,"9,076",13.2,67%
83,Korea Advanced Institute of Science and Technology (KAIST),69.2,67.1,65.8,77.4,100,41.6,"10,130",10.7,8%
84,UNSW Sydney,68.9,47.2,57.4,91.1,98.6,94.5,"47,044",36.6,40%
85,University of Minnesota,68.7,61,58.5,87.2,99.8,48.3,"59,556",11.8,9%
86,Purdue University West Lafayette,68.5,64,65.3,71.8,84.3,76.7,"42,633",18.3,17%
87,University of Glasgow,68.2,48.1,51.8,96.8,69.7,96.1,"32,270",14.4,43%
87,Hong Kong Polytechnic University,68.2,45.7,54.1,94.5,87.4,96.3,"20,034",30.6,30%
87,Humboldt University of Berlin,68.2,55.3,63.7,82.8,65.4,79,"34,761",54.5,18%
90,RWTH Aachen University,68,54.9,64.8,78.9,100,71.2,"34,914",43.3,29%
91,University of Bonn,67.8,51.7,57.7,89.7,82.6,73.8,"26,290",44.5,17%
92,"University of California, Irvine",67.4,47.1,53.8,93.2,96.1,80.9,"35,675",16.2,26%
92,Vanderbilt University,67.4,54.1,48.5,96,96.5,62.9,"12,971",3.9,17%
94,Charité - Universitätsmedizin Berlin,67.2,47.5,49.1,97.7,100,75.2,"8,868",17.5,21%
95,Lomonosov Moscow State University,67,87.5,75.2,33.9,91.1,73.8,"32,680",9.6,37%
95,University of Tübingen,67,49.1,56.5,89,99.8,72,"21,632",27.1,14%
97,KTH Royal Institute of Technology,66.9,53.5,57.8,81,97.7,82.5,"13,269",15.9,26%
97,University of Southampton,66.9,48.9,50.1,92.7,73.1,96.5,"19,920",13,35%
99,Erasmus University Rotterdam,66.7,38.5,54.1,96.9,94.7,90.6,"33,874",36,25%
99,Ohio State University (Main campus),66.7,55.8,52.7,88.4,85,67.3,"55,538",11.4,11%
101,University of Birmingham,66.6,46.1,49.3,95.5,72.1,95.1,"32,625",15.2,32%
102,Free University of Berlin,66.5,52.1,59.7,82.5,71.6,82.4,"25,427",41.5,20%
103,University of Copenhagen,66.3,49.2,51.1,91.3,89.5,80.1,"31,728",4.3,14%
103,McMaster University,66.3,43.8,51.3,93,100,87.3,"28,254",30.9,22%
105,University of Sheffield,66.2,48,49.5,92.3,77.5,92,"27,860",15.4,40%
106,Emory University,66.1,53.1,45.7,95.5,81.6,69.3,"13,127",4,19%
106,Lund University,66.1,46.7,56.6,86.6,99.8,79.8,"30,349",12,18%
106,University of Warwick,66.1,48.1,52.1,89,70.5,96.4,"24,905",14.4,44%
109,Aarhus University,65.9,44.9,59,86.3,98.7,76.3,"26,996",13.5,9%
109,University of Alberta,65.9,50.1,55.5,80.9,99.9,90.7,"33,730",22.8,27%
111,University of Adelaide,65.8,42.4,50.6,92.8,95,92.9,"23,792",36.4,31%
111,University of Göttingen,65.8,50,54.8,90.1,70.8,70.7,"23,349",27.4,14%
111,University of Montreal,65.8,51.2,54.1,81.7,96.6,87.7,"39,935",20.5,22%
114,"University of Maryland, College Park",65.7,49.4,58.1,92.8,70.2,48.6,"33,988",17,9%
115,Ghent University,65.6,47.2,59.3,85.3,99.7,65.7,"41,487",37.6,12%
116,University of Bern,65.4,45.1,47,93.3,99.2,87,"12,399",18.2,16%
116,Michigan State University,65.4,54.8,52.3,86.2,70,71.4,"44,514",16.1,11%
118,Texas A&M University,65.3,55.2,62.1,77.3,76.4,64.1,"64,427",20.5,6%
119,Rice University,65.2,56.4,45.6,86.5,73.9,85.8,"7,318",9.8,26%
119,University of Vienna,65.2,48.7,60.3,77.4,75.9,94.9,"31,318",37.4,31%
121,University of Helsinki,65.1,48.1,57.6,90.6,69.2,56.7,"22,887",15.9,5%
122,Penn State (Main campus),65,53.1,58.7,83.7,70.4,58.4,"45,875",14.2,15%
123,University of Basel,64.9,50.8,42.9,87.7,99.4,95.4,"8,536",10.4,31%
123,University of Massachusetts,64.9,54,46.9,87.3,85.6,77.3,"63,500",13.3,14%
125,Vrije Universiteit Amsterdam,64.7,40.4,51,93.4,91.5,84.3,"31,704",19.2,18%
126,Technical University of Denmark,64.6,50.7,47.4,83.2,99.7,92.2,"10,410",7.7,28%
127,University of Oslo,64.3,45.6,50.6,92.1,72.3,75.6,"20,967",12.5,15%
128,University of Freiburg,64.1,46.7,51.3,86.2,100,74.2,"19,417",34.4,17%
129,University of Leeds,63.9,46.1,49.1,87.3,68.8,94.6,"33,450",14.4,32%
130,University of Nottingham,63.8,45.6,45.9,90.6,71.2,92.8,"33,520",16,27%
130,Tohoku University,63.8,67.8,66.4,53.8,99.9,58.5,"17,409",11.8,12%
132,University of Florida,63.7,55.5,56.7,78.3,88.9,50.9,"48,114",16.7,9%
133,University of Rochester,63.6,50.8,42.9,88.3,89,81.7,"9,855",7.3,34%
134,Trinity College Dublin,63.2,44,48.4,87.6,76.6,91.4,"18,778",22.2,34%
135,Queen Mary University of London,63.1,37.6,42.6,97.9,73.9,98.1,"22,205",14.6,45%
136,University of Hamburg,63,44.7,53.3,84.8,98.6,65.7,"29,240",58.5,13%
136,Technical University of Berlin,63,47.8,55.6,78.1,99.9,71.3,"20,425",49.6,29%
138,University of Colorado Boulder,62.9,46.5,51.9,88.6,82.8,56.6,"35,844",16.5,8%
138,Maastricht University,62.9,41.4,47.1,86.1,98.1,97.4,"21,337",19.6,57%
140,Karlsruhe Institute of Technology,62.8,49.9,56.8,72.5,99.9,77.6,"21,448",20.5,25%
140,Radboud University Nijmegen,62.8,39.1,51,91.3,81.4,77.7,"23,004",18.2,12%
140,Uppsala University,62.8,43.9,55,81.3,97.7,74.7,"24,749",13.3,17%
143,University of Lausanne,62.7,41.7,46.3,87.3,99.5,90.4,"14,478",10.5,23%
143,The University of Western Australia,62.7,37.7,48.6,88.7,97.2,93.5,"19,382",22.4,26%
145,University of Pittsburgh-Pittsburgh campus,62.5,49.1,46.1,92.4,76.1,50.9,"26,305",5.4,10%
145,Sungkyunkwan University (SKKU),62.5,55.5,54.2,72.9,98.8,61.3,"23,402",19.4,19%
147,University of York,62.4,42.4,44.8,90.8,66.9,93.1,"19,505",16.1,31%
148,University of Technology Sydney,62.3,36.2,43.3,95.9,78.9,94.3,"28,223",37.4,25%
149,Pohang University of Science and Technology (POSTECH),62.2,58.1,51.5,77.2,100,40,"3,300",10.5,5%
150,University of Auckland,62,39.7,45.7,88.3,95.8,89.9,"35,663",24.4,31%
150,Sichuan University,62,59.1,57.3,69.3,93.2,46.1,"49,117",15.9,5%
152,University of Barcelona,61.9,42.4,47.3,91.4,83.9,65.2,"44,365",15.3,11%
152,National Taiwan University (NTU),61.9,57.3,54.8,70.8,99.9,51.2,"24,744",11.1,13%
152,Université Paris Cité,61.9,47.9,42.7,90.6,68.3,73.2,"61,690",16.9,18%
155,University of Arizona,61.8,48.7,51.3,85.7,84,47,"45,517",19.9,7%
155,University of Bologna,61.8,53,44.6,86.5,79.4,54.3,"74,105",24.7,11%
155,Lancaster University,61.8,40.2,40.7,93.9,66.6,96.8,"15,385",13.9,38%
158,Huazhong University of Science and Technology,61.7,48.8,48.1,90,96.9,32.9,"57,663",15.5,4%
158,University of Waterloo,61.7,42.2,49.3,83.7,78.3,89.3,"36,904",24.2,23%
160,University of Cologne,61.5,42.9,47.1,85.6,98.8,73.3,"31,299",28.7,17%
161,University of Antwerp,61.4,38.2,44.4,92.5,98.4,74.7,"16,168",31.8,17%
161,Dartmouth College,61.4,57.3,40.7,84.7,68.4,60.2,"6,226",7.4,16%
161,TU Dresden,61.4,46.6,51.1,79.3,99.7,67.9,"29,719",29.4,17%
164,Case Western Reserve University,61.3,51.7,40.2,88.7,71.4,65,"10,294",8.8,25%
164,Wuhan University,61.3,50.9,45,88.5,90.6,41,"56,066",15,5%
166,University of Virginia (Main campus),61.1,51.1,40.1,88.9,79.9,60.8,"25,953",8.9,11%
167,University of Cape Town,60.9,38.7,47,88.3,78.2,82.9,"21,961",13.6,13%
168,Université Catholique de Louvain,60.8,39.5,49.4,83.1,92,83.1,"25,409",37.3,20%
168,Eindhoven University of Technology,60.8,47.4,51.5,71.3,100,87.3,"10,611",21.4,27%
168,Harbin Institute of Technology,60.8,58.8,55.1,70.9,91.2,33.9,"30,933",10.6,6%
168,University of Liverpool,60.8,38.4,40.2,93.4,64.9,96.4,"25,955",14.2,32%
168,Newcastle University,60.8,37.2,41.1,93.8,72.1,91.3,"25,650",14.8,26%
168,Scuola Normale Superiore di Pisa,60.8,60.1,42.6,82.9,34.9,59.3,614,7.4,11%
174,Durham University,60.6,43.5,44.5,83.5,65.6,95.8,"19,575",14,32%
175,Osaka University,60.4,62.5,65.7,50.5,100,51,"22,274",10.4,10%
175,University of Würzburg,60.4,40.3,43.4,90.8,99.6,63.2,"23,637",38.3,12%
177,Beijing Normal University,60.2,57.7,45.8,77.5,67.6,52.3,"26,439",14.4,9%
177,University of Exeter,60.2,33.5,42.5,95.7,52.2,95.5,"27,190",16.6,28%
177,University of Ottawa,60.2,39.6,46.5,84.4,80.2,86.9,"38,366",27.2,26%
180,Macquarie University,60.1,36.7,44.2,87.4,90.9,88.6,"30,371",51.7,22%
181,Sapienza University of Rome,60,53.5,48.1,77.9,85.4,46.5,"60,522",22.2,9%
182,Arizona State University (Tempe),59.9,40.9,46.2,87.5,71.5,71.7,"48,870",19.7,14%
183,University of Geneva,59.8,41.8,38,86.7,80.7,97.1,"18,865",8.4,40%
184,University of Twente,59.7,43.4,46,75.1,99.6,93.3,"9,964",13.9,38%
185,Stockholm University,59.6,32.1,49.6,91,59.2,81.2,"29,774",20.3,13%
185,Tongji University,59.6,50,53.6,69.5,85.4,67.7,"31,632",11.3,15%
187,Georgetown University,59.5,52.6,37,85.1,92.2,53.2,"17,508",10.1,18%
187,University of Mannheim,59.5,36.5,45.4,90.2,93.6,63.7,"7,475",57.1,14%
189,Chalmers University of Technology,59.4,42.7,46.6,79.4,97.1,74.1,"10,103",15.4,17%
190,Cardiff University,59.3,35.5,39.6,91.9,70.4,92.5,"28,815",15,27%
191,Tokyo Institute of Technology,59.2,59.5,63.3,49.4,100,60.1,"9,928",9.6,17%
191,Tufts University,59.2,51.5,35,87.5,71.7,62.8,"11,611",10.5,16%
193,University of Erlangen-Nuremberg,59,42.6,48.1,79.7,100,61,"29,467",41.9,13%
193,University of Macau,59,38.4,38.1,90.3,61.9,93.7,"10,908",18.6,41%
193,University of Münster,59,43.8,47.3,83.7,81.5,53.5,"27,529",25.1,5%
193,University of St Andrews,59,46,42.6,77.7,63.6,95.8,"10,325",12.4,46%
193,Ulm University,59,40.6,41.2,87.9,99.6,63,"10,301",26.4,13%
198,Indiana University,58.9,47.3,38.4,84.9,85.8,64.7,"66,389",12.3,12%
199,University of Notre Dame,58.7,51.9,42.6,76.1,72.9,69.9,"12,576",10.9,12%
199,Queensland University of Technology,58.7,33.9,42.1,89.5,85.9,82.2,"35,164",37.9,14%
199,Ulsan National Institute of Science and Technology (UNIST),58.7,47.7,40.8,85,94.6,46.5,"3,799",11.8,9%
201–250,Aalborg University,55.9–58.6,33.7,45,83,80.6,72.4,"17,275",14.9,12%
201–250,Aalto University,55.9–58.6,42,43.1,79.7,87.2,81.8,"14,427",20.4,23%
201–250,University of Aberdeen,55.9–58.6,36.4,35.8,81.8,78.9,97.5,"12,755",15.3,40%
201–250,Abu Dhabi University,55.9–58.6,48.2,30,85.8,25.5,97.8,"2,506",10.9,60%
201–250,Autonomous University of Barcelona,55.9–58.6,45.1,41.4,84.8,67.6,68.8,"32,901",13.2,13%
201–250,University of Calgary,55.9–58.6,36.5,41.4,81.7,88.8,85.2,"34,012",18.8,24%
201–250,"University of California, Santa Cruz",55.9–58.6,34.9,39.8,93.3,73.2,77.9,"19,154",24.2,12%
201–250,Curtin University,55.9–58.6,30.2,36.5,87.5,78.8,94.7,"29,283",20.8,29%
201–250,Friedrich Schiller University Jena,55.9–58.6,43.2,42,81.8,79.8,69.3,"16,048",18.9,14%
201–250,George Washington University,55.9–58.6,48.2,35.7,86,67.3,66.1,"22,211",13,14%
201–250,Goethe University Frankfurt,55.9–58.6,40.2,38.2,82.4,74.6,70.8,"28,572",14.5,14%
201–250,University of Gothenburg,55.9–58.6,34,43.4,90.2,75.4,65.7,"21,698",11.9,13%
201–250,University of Hawai’i at Mānoa,55.9–58.6,42,42.5,75.8,68.3,77.3,"14,936",11.3,10%
201–250,University of Illinois Chicago,55.9–58.6,50.3,33.9,80,76.7,61,"28,868",11.4,18%
201–250,Indian Institute of Science,55.9–58.6,62.9,57.8,53.9,96,31.1,"4,495",9.6,1%
201–250,University of Iowa,55.9–58.6,46.1,37,79.9,88.6,55.8,"28,583",10.9,6%
201–250,King Fahd University of Petroleum and Minerals,55.9–58.6,37.6,38.7,86.3,90.9,84.8,"6,801",8.5,15%
201–250,Korea University,55.9–58.6,48.6,46.6,72,99.7,62.5,"22,324",16.3,31%
201–250,University of Leicester,55.9–58.6,33.4,34.2,95.5,67.9,95.1,"14,000",13.9,31%
201–250,Université Libre de Bruxelles,55.9–58.6,35.8,45,83.5,76.4,89.6,"30,287",51.7,30%
201–250,University of Luxembourg,55.9–58.6,39.6,39.4,78.1,63,93.2,"5,599",21.3,49%
201–250,Medical University of Graz,55.9–58.6,32,33.5,91.6,94.9,81.9,"4,027",15.5,29%
201–250,Medical University of Vienna,55.9–58.6,40,28.7,93.5,94.1,81.7,"7,271",8.4,30%
201–250,University of Miami,55.9–58.6,48.5,34.7,83.2,80.4,67.5,"17,060",10.4,14%
201–250,Moscow Institute of Physics and Technology (MIPT),55.9–58.6,63.5,48.8,55.1,68.6,72.7,"6,111",11.6,21%
201–250,Nagoya University,55.9–58.6,55.3,55.7,54.3,99.5,41.9,"15,224",13,12%
201–250,University of Newcastle,55.9–58.6,33.8,38.8,85.5,76.5,83.4,"24,608",31.3,16%
201–250,"Northeastern University, US",55.9–58.6,40.2,33.6,93.3,68.9,83.3,"22,269",14.1,32%
201–250,University of Padua,55.9–58.6,46.1,38.5,84.1,77.1,53.1,"44,401",26.5,7%
201–250,Politecnico di Milano,55.9–58.6,42.9,49.7,71.9,95.3,65.3,"38,978",25.7,19%
201–250,Pompeu Fabra University,55.9–58.6,35.9,38.3,90.5,78.4,74.7,"12,173",22.7,13%
201–250,University of Potsdam,55.9–58.6,37.3,44.7,80.4,91,68.5,"14,330",38.1,16%
201–250,Queen’s University Belfast,55.9–58.6,34,38,88.7,65,98.4,"20,895",17.2,41%
201–250,University of Reading,55.9–58.6,37.5,40.6,84.1,70.8,95.5,"15,945",16.6,31%
201–250,Rutgers University – New Brunswick,55.9–58.6,46.4,37.2,78.4,80.1,63.7,"46,256",11.2,17%
201–250,Sant’Anna School of Advanced Studies – Pisa,55.9–58.6,50.4,39,80.1,90.3,60.8,718,7.4,20%
201–250,University of São Paulo,55.9–58.6,59.8,60.7,57.3,68.2,42.5,"83,182",13.9,2%
201–250,Southern University of Science and Technology (SUSTech),55.9–58.6,32.9,40.8,92.8,60.3,69.3,"6,575",9,1%
201–250,Sun Yat-sen University,55.9–58.6,46.6,39.5,83.2,86.2,39.1,"61,453",15.2,5%
201–250,University of Sussex,55.9–58.6,29.7,35.6,92.7,66.1,95.4,"17,640",17.3,34%
201–250,Swinburne University of Technology,55.9–58.6,31.7,34,91.3,75.4,85.6,"14,324",28.5,24%
201–250,Tel Aviv University,55.9–58.6,40.7,49.7,83,76.2,52.9,"24,995",24.2,5%
201–250,Tianjin University,55.9–58.6,46.1,47.6,71.4,93.5,55.3,"26,486",8.9,13%
201–250,Tilburg University,55.9–58.6,32.8,44.9,80.1,82.6,84.5,"13,225",32.2,21%
201–250,University College Dublin,55.9–58.6,34.3,41.3,84,75.1,88.1,"23,405",20.7,25%
201–250,University of Utah,55.9–58.6,43.5,38.5,87,83.5,40.9,"31,502",13.3,8%
201–250,Vrije Universiteit Brussel,55.9–58.6,37.8,42.6,80.9,92.4,78.5,"14,931",35.1,23%
201–250,Western University,55.9–58.6,40.2,42.9,75.2,99.6,87.5,"30,176",33,24%
201–250,University of Wollongong,55.9–58.6,36.8,39.3,84,91.4,91.7,"16,328",26.1,22%
251–300,University of Bath,53.1–55.8,34.7,35.1,80.5,65.3,95,"15,280",15.8,31%
251–300,Beijing Institute of Technology,53.1–55.8,45.1,44,74.7,82.1,36.8,"34,050",13.4,8%
251–300,University of Bergen,53.1–55.8,36.7,33.9,84.2,69.4,76.3,"15,751",13,11%
251–300,Boston College,53.1–55.8,43.5,30.5,84.6,60.7,57.8,"13,156",14.9,10%
251–300,Brandeis University,53.1–55.8,36.7,28.3,84.6,64.2,81.4,"4,791",11.6,33%
251–300,"University of California, Riverside",53.1–55.8,35.9,35.4,85.7,70.6,77,"25,670",19.6,14%
251–300,Deakin University,53.1–55.8,28.3,34.6,91.4,72.2,85.7,"40,988",32.7,18%
251–300,University of East Anglia,53.1–55.8,31.1,32,90.9,51.6,88.7,"16,475",14.3,21%
251–300,École Normale Supérieure de Lyon,53.1–55.8,58.5,46.8,53.9,78.5,68,"2,024",7.9,11%
251–300,Florida State University,53.1–55.8,38.2,38.6,79.4,68.2,58.8,"39,831",24.6,6%
251–300,Griffith University,53.1–55.8,30.5,37.8,82.7,74.6,81.8,"34,770",31.6,15%
251–300,Heinrich Heine University Düsseldorf,53.1–55.8,36.7,34.5,82.3,82.2,66.8,"28,121",30.1,13%
251–300,University of Hohenheim,53.1–55.8,35,35.5,85.7,80.5,61.7,"8,369",37.7,14%
251–300,Humanitas University,53.1–55.8,32.3,27.9,98,62.8,67.1,"1,988",17.9,18%
251–300,Johannes Gutenberg University of Mainz,53.1–55.8,39.5,32.6,82.3,89,66,"30,755",24.1,11%
251–300,Khalifa University,53.1–55.8,31.7,35.9,78.4,95.6,97.4,"3,289",9.3,41%
251–300,King Abdulaziz University,53.1–55.8,37.8,28.6,90.7,46.1,75.4,"60,540",13.9,3%
251–300,University of Konstanz,53.1–55.8,39.8,44.4,71.5,97.4,76.4,"7,594",34.5,11%
251–300,Kyung Hee University,53.1–55.8,40.3,40,71,95.9,71.5,"20,427",17.6,30%
251–300,Lappeenranta-Lahti University of Technology LUT,53.1–55.8,33.4,36.7,91.7,65.1,64.2,"5,028",31.6,14%
251–300,La Trobe University,53.1–55.8,28.9,35.4,88.1,73.8,88.2,"19,172",28.2,29%
251–300,Université Laval,53.1–55.8,40.7,38.7,73.7,94.2,76.2,"30,362",17.9,16%
251–300,Linköping University,53.1–55.8,28.3,41.3,86.4,92.8,70.7,"15,233",14.9,15%
251–300,Loughborough University,53.1–55.8,36.5,34.4,77.4,70.2,91.5,"16,110",13.9,25%
251–300,Macau University of Science and Technology,53.1–55.8,33.1,34.2,78.9,65,94.7,"14,091",41.8,92%
251–300,University of Malaya,53.1–55.8,43.4,35.4,72.6,52.5,84.7,"19,346",10.2,22%
251–300,Medical University of Innsbruck,53.1–55.8,33.2,29.3,89.6,98.6,88.3,"3,337",12.9,44%
251–300,Nankai University,53.1–55.8,48.8,31.4,85.3,66.5,49.3,"31,416",11.7,7%
251–300,North Carolina State University,53.1–55.8,46,41.4,73.3,79.1,61.8,"31,391",15.9,11%
251–300,University of Oulu,53.1–55.8,33.1,38.2,84.1,66,59.5,"10,719",20.8,8%
251–300,Qatar University,53.1–55.8,31.3,35.6,83.4,61.8,96,"10,081",8.4,36%
251–300,Queen’s University,53.1–55.8,37.5,38,72.3,94,76,"27,034",25.9,16%
251–300,RCSI University of Medicine and Health Sciences,53.1–55.8,32.3,36.6,81.7,76.9,91.6,"2,703",23.9,67%
251–300,RMIT University,53.1–55.8,35.5,36.2,83.2,73.2,92.8,"32,574",24,34%
251–300,Ruhr University Bochum,53.1–55.8,39.8,46.7,72.2,85.9,60,"37,709",46.7,16%
251–300,Sejong University,53.1–55.8,31.4,34.5,94,73.8,68.6,"11,678",18.9,15%
251–300,Semmelweis University,53.1–55.8,45.2,27.8,76.9,66.4,79.9,"9,966",12.8,37%
251–300,Simon Fraser University,53.1–55.8,28.7,36.7,84.2,83.1,92.9,"27,269",26.8,31%
251–300,South China University of Technology,53.1–55.8,36.6,38.2,83.2,92.8,44,"40,449",12.6,6%
251–300,University of Southern Denmark,53.1–55.8,29.8,33.5,89.1,91.5,76.9,"18,279",9.9,13%
